ngram,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
spaansche,0,0,0,0,0,0,0,0,24,0,0,0,0,0,14,0,0,0,15,26,28,29,31,23,16,15,17,19,24,25,28,35,39,23,26,21,33,30,25,20,20,32,27,21,24,20,19,18,0,15,27,29,18,27,46,26,16,30,46,51,48,25,15,12,14,12,12,13,19,12,20,0,0,0,0,11,11,14,13,14,20,24,19,56,18,0,11,12,0,0,16,12,16,17,25,16,19,17,11
overige,13,0,0,0,0,0,0,0,0,0,0,0,0,12,14,14,18,29,22,22,26,25,20,20,24,20,23,21,26,31,25,33,31,36,36,40,32,35,34,36,33,38,39,41,44,42,37,37,27,32,35,31,37,36,46,35,32,37,29,29,37,33,30,30,41,38,31,44,34,35,29,23,27,29,31,29,30,28,28,30,52,47,43,47,45,44,57,48,49,40,46,43,40,34,30,45,48,48,47
onderscheidene,0,0,0,0,0,0,0,0,0,0,0,0,14,11,16,21,17,21,18,11,17,15,17,19,15,14,16,21,22,32,28,19,21,29,27,23,19,30,16,13,15,27,21,23,29,19,20,28,16,12,11,11,18,13,14,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bijzondere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,15,15,0,13,14,18,18,20,15,19,17,14,17,20,17,18,19,24,22,17,20,21,19,20,22,21,22,27,21,21,28,29,18,23,25,21,24,21,22,14,13,12,0,13,16,20,11,19,16,11,16,17,11,16,11,0,11,15,16,14,13,13,15,17,17,20,20,21,18,23,23,23,29,24,26,23,21,24,24,26,20,27
goed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,17,14,11,14,17,17,11,17,18,20,21,21,26,28,30,27,28,26,30,30,33,30,29,28,36,39,42,40,44,45,41,47,48,46,51,49,54,41,47,41,43,46,47,50,55,55,63,60,52,62,65,55,55,50,51,54,60,52,61,60,60,57,79,71,67,73,71,70,75,78,69,76,68,73,74,74,77,81,79,89,89
buitenlandsche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,17,17,14,17,14,17,20,15,16,17,21,17,19,22,30,16,27,28,32,33,33,29,30,45,35,52,55,41,41,43,47,46,42,55,62,56,65,43,51,36,35,43,53,47,45,54,52,43,53,57,68,59,52,42,54,43,65,64,54,60,76,58,77,72,71,72,75,67,69,67,59,77,73,70,59,71,68,84,94,101,86
ware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,15,19,16,14,14,16,15,17,17,20,14,15,19,22,25,20,23,23,16,23,19,19,22,17,14,20,20,23,29,23,26,26,25,26,30,30,25,26,32,24,27,22,23,23,26,23,19,17,28,23,25,26,24,25,22,21,23,22,25,22,23,26,23,22,35,30,29,29,28,28,31,26,28,30,29,27,29,27,31,31,33,36,36
tarwe,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,14,15,11,11,11,0,0,0,16,14,12,13,12,14,21,29,30,47,41,43,42,37,38,57,58,52,63,57,59,60,54,45,50,49,45,49,46,51,49,65,35,43,48,39,45,45,45,43,47,57,56,57,58,57,64,61,54,72,68,65,63,65,67,62,76,91,88,90,83,85,82,78,75,59,60,60,61,61,56,66,75,72,63,51
bijzonder,11,12,0,0,0,0,0,0,0,0,0,12,11,0,17,0,19,19,12,12,16,14,17,16,15,15,15,14,17,20,18,16,20,19,18,22,18,18,18,15,15,17,23,21,25,15,16,19,22,19,20,20,24,23,25,15,16,12,14,18,14,19,15,16,19,20,16,24,21,21,18,19,18,20,24,18,24,23,24,28,30,29,33,34,33,33,33,32,34,38,33,30,36,37,34,34,35,39,41
geheele,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,13,15,12,14,0,11,12,11,15,16,16,15,12,18,18,18,16,18,21,17,19,18,16,17,17,16,21,18,18,32,25,24,30,24,18,22,26,26,28,36,19,21,27,25,19,23,22,29,26,33,29,32,28,28,32,26,29,28,23,36,30,32,30,31,37,42,47,39,40,40,39,43,43,30,46,42,40,38,47,42,45,44,53,51
waarschijnlijk,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,18,15,16,17,18,16,15,18,18,15,17,15,16,20,19,22,20,19,20,19,24,22,23,22,22,23,27,28,23,25,22,26,22,26,27,29,28,31,28,24,25,25,27,26,28,27,29,31,30,28,27,29,27,27,22,23,24,29,27,29,27,27,29,36,34,35,33,40,34,39,32,32,47,39,32,32,38,35,34,38,43,41
vrij,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,12,14,0,11,0,17,14,14,14,18,11,15,18,20,18,16,24,19,19,13,17,17,24,18,15,19,21,30,21,20,27,22,27,28,28,24,23,36,22,20,23,20,21,26,23,24,23,29,30,25,32,32,28,26,27,31,26,26,30,29,32,29,34,47,45,39,43,48,41,45,41,41,51,47,40,38,47,44,45,53,51,60
mogelijk,11,0,0,0,0,0,0,0,0,0,0,0,12,13,13,18,17,17,18,13,15,16,15,14,16,17,17,18,23,19,26,23,22,24,27,24,25,22,27,23,26,23,28,27,32,25,33,32,27,28,31,32,37,37,39,27,22,26,24,29,27,29,28,29,39,38,33,42,37,36,34,30,31,30,32,31,34,33,36,39,43,41,42,44,44,44,45,42,38,53,49,48,49,49,50,57,53,59,59
