,pmi,w1,w2,year
0,1.090096228082466,buitenland,nationale,1824
0,1.5584105423566927,buitenlandsche,natie,1824
0,0.7938867613975423,buitenlandsche,vaderland,1824
0,0.7897085194827849,buitenlandsche,nederland,1824
0,1.0199971886907788,buitenlandsche,holland,1824
0,1.8861798645369223,buitenlandsche,geschiedenis,1824
0,1.0743645812073428,buitenlandsche,nationale,1824
0,1.5279141807199121,buitenland,natie,1825
0,0.992620764508382,buitenland,vaderland,1825
0,0.6866642568880195,buitenland,nederland,1825
0,0.9807664677565189,buitenland,holland,1825
0,1.4011017383441347,buitenland,geschiedenis,1825
0,1.1095053525104597,buitenland,nationale,1825
0,1.521300038200037,buitenlandsche,natie,1825
0,0.9185312411776257,buitenlandsche,vaderland,1825
0,0.5539682758970655,buitenlandsche,nederland,1825
0,0.8608236399296404,buitenlandsche,holland,1825
0,1.2811589105172563,buitenlandsche,geschiedenis,1825
0,0.9617346420608406,buitenlandsche,nationale,1825
0,1.6486738442622177,buitenland,natie,1826
0,0.9219155977498084,buitenland,vaderland,1826
0,0.790991983338318,buitenland,nederland,1826
0,1.1101541806572257,buitenland,holland,1826
0,1.2934029512403726,buitenland,geschiedenis,1826
0,1.4712530538467674,buitenland,nationale,1826
0,1.6775174183402153,buitenlandsche,natie,1826
0,0.8729697622115181,buitenlandsche,vaderland,1826
0,0.7488781302968945,buitenlandsche,nederland,1826
0,1.180585006610597,buitenlandsche,holland,1826
0,1.2731526713151518,buitenlandsche,geschiedenis,1826
0,1.4729686318574466,buitenlandsche,nationale,1826
0,1.396176897279578,buitenland,natie,1827
0,0.7210307566513174,buitenland,vaderland,1827
0,0.5671770330252017,buitenland,nederland,1827
0,0.9201893019885068,buitenland,holland,1827
0,1.2818234656460734,buitenland,geschiedenis,1827
0,1.0372020955117514,buitenland,nationale,1827
0,1.3570260788013329,buitenlandsche,natie,1827
0,0.7186437788626001,buitenlandsche,vaderland,1827
0,0.5309211571551504,buitenlandsche,nederland,1827
0,0.8622813477059207,buitenlandsche,holland,1827
0,1.2498660305362366,buitenlandsche,geschiedenis,1827
0,1.0336429220666006,buitenlandsche,nationale,1827
0,1.3885515928705419,buitenland,natie,1828
0,0.991514097808581,buitenland,vaderland,1828
0,0.6075982949480924,buitenland,nederland,1828
0,1.297258542309812,buitenland,holland,1828
0,1.5279506675563743,buitenland,geschiedenis,1828
0,1.322355688922966,buitenland,nationale,1828
0,1.402625066286402,buitenlandsche,natie,1828
0,0.9298607960164734,buitenlandsche,vaderland,1828
0,0.4856069263986566,buitenlandsche,nederland,1828
0,1.214880728923858,buitenlandsche,holland,1828
0,1.5288942970047226,buitenlandsche,geschiedenis,1828
0,1.2629673937617105,buitenlandsche,nationale,1828
0,1.431583095820841,buitenland,natie,1829
0,1.0212326536533878,buitenland,vaderland,1829
0,0.8397479432528214,buitenland,nederland,1829
0,1.0982075033481054,buitenland,holland,1829
0,1.3823098824641478,buitenland,geschiedenis,1829
0,1.4817416243170785,buitenland,nationale,1829
0,1.3861370480271842,buitenlandsche,natie,1829
0,0.9603764294832488,buitenlandsche,vaderland,1829
0,0.7215134748494514,buitenlandsche,nederland,1829
0,0.9739549626191724,buitenlandsche,holland,1829
0,1.369794074532317,buitenlandsche,geschiedenis,1829
