loterijen | likeuren | steenkolen | goederen | artikelen | zeep,zaken | aangelegenheden | staatkunde | betrekkingen | politiek | zendingen,leden | ministers | vijanden | staten | commissarissen | geleerden,beurzen | fondsen | effecten | effekten | fondfen,handel | granen | orders | verzending | prijshoudend | tarwe,mogendheden | dagbladen | bladen | gezanten | regeringen | mogendheid,scheepvaart | havens | markten | bezittingen | producten | schepen,en | zonder | voorkomende | mede | als | met,berigten | tijdingen | beursberigten | nieuwstijdingen | lijdingen | berichten,schuld | schuldeischers | coupons | rekening | wissels | leening,waren | was | zijn | leverden,reis | zeevaart | aken | reizen | hulp | haven,year,sum
0.0,26.522593320235753,0.3929273084479371,5.50098231827112,0.0,1.9646365422396856,1.1787819253438114,5.50098231827112,57.56385068762279,0.0,0.0,1.37524557956778,1815,509.0
2.8021015761821366,25.74430823117338,1.4010507880910683,4.728546409807356,0.0,5.253940455341506,2.9772329246935203,3.677758318739054,52.364273204903675,0.0,0.7005253940455342,0.3502626970227671,1816,571.0
0.8869179600886918,24.833702882483372,0.6651884700665188,0.8869179600886918,0.4434589800443459,3.1042128603104215,1.5521064301552108,0.0,67.1840354767184,0.4434589800443459,0.0,0.0,1817,451.0
0.3875968992248062,21.31782945736434,0.7751937984496124,1.744186046511628,0.7751937984496124,1.550387596899225,15.11627906976744,0.3875968992248062,57.94573643410853,0.0,0.0,0.0,1818,516.0
2.871621621621622,27.027027027027028,0.0,1.1824324324324325,1.6891891891891893,2.364864864864865,13.006756756756758,0.6756756756756757,50.50675675675676,0.0,0.33783783783783783,0.33783783783783783,1819,592.0
0.0,28.65612648221344,0.7905138339920948,1.5810276679841897,0.0,1.9762845849802373,7.114624505928854,0.0,59.48616600790514,0.0,0.3952569169960474,0.0,1820,506.0
0.3091190108191654,36.6306027820711,1.2364760432766615,0.9273570324574961,0.9273570324574961,4.01854714064915,6.9551777434312205,0.9273570324574961,47.75888717156105,0.0,0.0,0.3091190108191654,1821,647.0
0.0,50.960451977401135,1.3559322033898304,5.19774011299435,2.598870056497175,2.711864406779661,3.1638418079096042,0.4519774011299435,32.090395480225986,0.22598870056497175,0.22598870056497175,1.0169491525423728,1822,885.0
0.0,49.67105263157895,0.9868421052631579,9.210526315789473,0.9868421052631579,1.425438596491228,3.508771929824561,0.43859649122807015,33.55263157894737,0.0,0.0,0.21929824561403508,1823,912.0
0.0,45.085190039318476,0.9174311926605505,8.650065530799477,0.5242463958060288,3.014416775884666,1.834862385321101,0.2621231979030144,39.05635648754915,0.39318479685452157,0.0,0.2621231979030144,1824,763.0
0.2751031636863824,43.328748280605225,0.5502063273727648,9.07840440165062,2.3383768913342506,1.6506189821182942,1.925722145804677,0.2751031636863824,40.577716643741404,0.0,0.0,0.0,1825,727.0
0.0,47.60845383759733,0.5561735261401557,10.233592880978867,1.8909899888765296,1.2235817575083427,2.6696329254727478,1.4460511679644048,33.70411568409344,0.22246941045606228,0.0,0.44493882091212456,1826,899.0
0.23364485981308408,51.4018691588785,0.0,8.177570093457943,2.219626168224299,1.4018691588785046,1.7523364485981308,1.7523364485981308,32.35981308411215,0.23364485981308408,0.23364485981308408,0.23364485981308408,1827,856.0
1.6241299303944314,50.11600928074246,0.46403712296983757,8.004640371229698,0.6960556844547563,1.6241299303944314,0.580046403712297,1.2761020881670533,35.150812064965194,0.46403712296983757,0.0,0.0,1828,862.0
0.0,56.29965947786606,0.0,4.426787741203178,0.22701475595913734,2.6106696935300793,2.0431328036322363,0.340522133938706,33.82519863791146,0.0,0.0,0.22701475595913734,1829,881.0
0.5324813631522897,51.97018104366348,0.0,7.135250266240682,0.8519701810436635,3.5143769968051117,2.023429179978701,0.42598509052183176,31.948881789137378,1.1714589989350372,0.0,0.42598509052183176,1830,939.0
0.0,74.72085752568111,0.1786511835640911,3.4836980794997765,0.40196516301920504,1.5185350602947745,0.6699419383653417,0.1786511835640911,18.758374274229567,0.0,0.0,0.08932559178204555,1831,2239.0
0.36719706242350064,73.39861281109751,0.24479804161566704,4.814361485108119,0.36719706242350064,1.9583843329253363,4.039167686658507,0.9383924928600571,13.708690330477355,0.0,0.0,0.1631986944104447,1832,2451.0
0.22634676324128564,69.76007243096424,0.1810774105930285,9.325486645540968,0.362154821186057,1.4938886373924853,1.9013128112267994,0.3168854685377999,15.391579900407423,0.362154821186057,0.0,0.6790402897238569,1833,2209.0
0.22038567493112945,56.80440771349863,0.27548209366391185,4.022038567493113,0.7713498622589532,1.4325068870523416,1.9283746556473829,0.4407713498622589,23.636363636363637,10.082644628099173,0.0,0.3856749311294766,1834,1815.0
0.0,46.07471575527883,0.2165674066053059,14.13102328099621,2.490525175961018,2.1115322144017323,2.382241472658365,0.2165674066053059,30.590146182999455,0.7038440714672441,0.2165674066053059,0.8662696264212236,1835,1847.0
0.11061946902654868,43.41814159292036,0.0,18.418141592920353,1.9358407079646016,0.9402654867256638,2.4889380530973453,0.7743362831858407,26.050884955752213,3.484513274336283,0.0,2.3783185840707963,1836,1808.0
0.39032006245121,54.56674473067916,0.0,11.943793911007026,0.39032006245121,1.56128024980484,3.825136612021858,0.78064012490242,23.185011709601874,1.405152224824356,0.78064012490242,1.1709601873536302,1837,1281.0
0.20590253946465342,62.52573781743308,0.20590253946465342,4.25531914893617,0.4804392587508579,2.9512697323266988,3.225806451612903,1.3726835964310227,22.031571722717914,1.3726835964310227,0.20590253946465342,1.1667810569663692,1838,1457.0
0.6996770721205597,68.2454251883746,0.16146393972012918,5.11302475780409,0.5920344456404736,1.6684607104413347,2.798708288482239,0.8073196986006458,16.41550053821313,1.3455328310010763,0.2152852529601722,1.9375672766415502,1839,1858.0
0.0,48.951994590939826,0.0,3.110209601081812,0.2704530087897228,1.757944557133198,3.313049357674104,1.8255578093306288,37.79580797836376,1.757944557133198,0.0,1.2170385395537524,1840,1479.0
0.10357327809425168,62.97255308130503,0.31071983428275507,4.660797514241326,0.25893319523562924,1.3982392542723976,2.589331952356292,1.294665976178146,25.116519937856037,0.6214396685655101,0.0,0.6732263076126359,1841,1931.0
0.13360053440213762,43.01937207748831,0.13360053440213762,8.617234468937877,1.068804275217101,1.402805611222445,3.3400133600534407,2.2712090848363395,38.476953907815634,0.8016032064128256,0.6012024048096193,0.13360053440213762,1842,1497.0
