rogge | ƒ475 | ƒ450 | ƒ7— | ƒ525 | ƒ6—,waren | en | was | voor | werd | met,zaken | politiek | kroniek | bladen | staatkunde | aangelegenheden,huizen | leden | journalisten | officieren | tijdschriften | geleerden,berigten | berichten | effecten | schuld | reis | beursberigten,havens | beurzen | fondsen | staatsfondsen | markten | kooplieden,granen | soorten | markt | suiker | handel | meerendeels,fr | dito | nieuws | 1867 | handelsberichten | perpetueele,year,sum
0.0,5.870841487279844,28.767123287671232,0.0,63.79647749510763,1.5655577299412915,0.0,0.0,1815,511.0
0.0,4.3478260869565215,30.782608695652176,0.0,54.78260869565217,10.08695652173913,0.0,0.0,1816,575.0
0.0,0.0,28.60310421286031,0.0,68.51441241685144,2.4390243902439024,0.4434589800443459,0.0,1817,451.0
0.0,0.3875968992248062,23.643410852713178,0.0,58.333333333333336,16.86046511627907,0.7751937984496124,0.0,1818,516.0
0.0,1.0101010101010102,28.95622895622896,0.33670033670033667,51.010101010101,17.003367003367003,1.6835016835016834,0.0,1819,594.0
0.0,0.3952569169960474,31.422924901185773,0.0,59.48616600790514,8.695652173913043,0.0,0.0,1820,506.0
0.0,1.5360983102918586,41.16743471582181,0.4608294930875576,47.77265745007681,8.141321044546851,0.9216589861751152,0.0,1821,651.0
0.0,0.8948545861297539,54.80984340044742,0.22371364653243847,32.997762863534675,8.501118568232663,2.5727069351230423,0.0,1822,894.0
0.0,0.43668122270742354,51.52838427947598,0.6550218340611353,34.27947598253275,12.117903930131005,0.9825327510917031,0.0,1823,916.0
0.0,0.7782101167315175,48.119325551232166,0.648508430609598,41.50453955901427,8.430609597924773,0.5188067444876783,0.0,1824,771.0
0.2743484224965706,0.2743484224965706,45.40466392318244,0.0,46.36488340192044,5.349794238683128,2.3319615912208507,0.0,1825,729.0
0.0,1.4396456256921373,49.390919158361015,0.0,34.21926910299003,13.067552602436322,1.8826135105204873,0.0,1826,903.0
0.0,1.9859813084112148,52.80373831775701,0.23364485981308408,32.59345794392524,10.163551401869158,2.219626168224299,0.0,1827,856.0
0.0,1.2702078521939952,52.19399538106235,0.0,37.29792147806005,8.545034642032332,0.6928406466512702,0.0,1828,866.0
0.0,0.5656108597285068,58.710407239819006,0.0,33.4841628959276,6.67420814479638,0.3393665158371041,0.22624434389140274,1829,884.0
0.0,0.42238648363252373,54.69904963041182,0.7391763463569165,32.840549102428724,9.926082365364309,1.3727560718057021,0.0,1830,947.0
0.0,0.08908685968819599,75.90200445434299,0.26726057906458794,18.88641425389755,4.67706013363029,0.17817371937639198,0.0,1831,2245.0
0.0,0.9349593495934959,75.60975609756098,0.16260162601626016,14.715447154471544,8.414634146341465,0.16260162601626016,0.0,1832,2460.0
0.0,0.3155996393146979,71.05500450856627,0.49594229035166815,17.763751127141568,10.099188458070333,0.2705139765554554,0.0,1833,2218.0
0.0,0.7612833061446439,58.12941816204459,0.5437737901033171,34.4752582925503,5.655247417074497,0.4350190320826536,0.0,1834,1839.0
0.0,0.5385029617662896,47.711362412493266,0.2154011847065159,33.71028540656973,15.347334410339256,2.4771136241249323,0.0,1835,1857.0
0.0,0.8815426997245178,43.85674931129477,0.0,34.32506887052342,19.11845730027548,1.8181818181818181,0.0,1836,1815.0
0.0,1.71473109898675,55.72876071706937,0.0,31.566640685892438,10.600155884645362,0.3897116134060795,0.0,1837,1283.0
0.0,1.5721120984278878,64.79835953520164,1.2303485987696514,26.862611073137387,5.194805194805195,0.3417634996582365,0.0,1838,1463.0
0.0,1.4415376401494928,69.35397757608115,0.37373198077949815,23.545114789108382,4.8051254671649755,0.4805125467164976,0.0,1839,1873.0
0.0,1.9528619528619526,50.505050505050505,0.13468013468013468,42.69360269360269,4.444444444444445,0.26936026936026936,0.0,1840,1485.0
0.0,1.3910355486862442,63.7300360638846,0.41215868109222054,28.90262751159196,5.306543019062339,0.2575991756826378,0.0,1841,1941.0
0.0,3.062583222370173,46.13848202396804,0.13315579227696406,43.075898801597866,6.524633821571238,1.0652463382157125,0.0,1842,1502.0
0.0,2.951002227171492,53.953229398663694,0.0,33.57461024498886,7.461024498886415,2.060133630289532,0.0,1843,1796.0
0.0,1.9242333132892364,44.678292242934454,0.3607937462417318,43.716175586289836,6.19362597714973,2.285027059530968,0.841852074564041,1844,1663.0
0.0,2.157943067033976,48.301193755739206,0.5050505050505051,42.194674012855835,5.188246097337006,1.4692378328741964,0.18365472910927455,1845,2178.0
0.0,1.349586417065738,53.54810622551154,0.174140182847192,41.010013060513714,2.0026121027427077,1.915542011319112,0.0,1846,2297.0
0.2530730296456978,3.723788864786696,50.759219088937094,0.6869125090383225,36.767895878524946,5.02530730296457,2.7838033261026753,0.0,1847,2766.0
0.052910052910052914,0.7142857142857143,57.08994708994709,0.21164021164021166,35.63492063492063,5.9259259259259265,0.3703703703703704,0.0,1848,3780.0
0.15119443604475355,0.6350166313879648,56.06289688539462,0.21167221046265497,33.56516480193529,9.071666162685213,0.3023888720895071,0.0,1849,3307.0
0.0,1.0860245784509859,52.8436696198914,0.40011431837667905,32.466418976850534,12.603601028865391,0.6001714775650185,0.0,1850,3499.0
0.07347538574577515,1.8736223365172666,43.75459221160911,2.4981631153563555,33.87215282880235,16.605437178545188,1.322556943423953,0.0,1851,2722.0
0.0,1.2146818061790334,52.70662793768154,0.5809347768682335,35.19936625297069,9.796672828096119,0.5017163982043834,0.0,1852,3787.0
0.0,0.6901651466600937,52.60044367759428,0.44367759428148884,36.5541040177471,9.046093172294798,0.6655163914222332,0.0,1853,4057.0
