bladen | aangelegenheden | mogendheden | pers | dagbladen | betrekkingen,granen | soorten | markt | suiker | handel | meerendeels,zaken | berigten | berichten | kroniek | reis | beursberigten,fondsen | staatsfondsen | effecten | schuld | rekening | effekten,rogge | ƒ475 | ƒ450 | ƒ7— | ƒ525 | ƒ6—,waren | en | was | voor | werd | met,huizen | leden | zeevaart | officieren | tijdschriften | geleerden,havens | beurzen | markten | kooplieden | scheepvaart | maatschappijen,politiek | staatkunde | mogendheid | troepen | vijanden | verwikkelingen,fr | dito | 1867 | handelsberichten | perpetueele | marktberichten,year,sum
2.3483365949119372,0.0,83.75733855185909,5.47945205479452,0.0,5.47945205479452,1.36986301369863,1.1741682974559686,0.3913894324853229,0.0,1815,511.0
6.434782608695652,0.8695652173913043,76.0,4.695652173913043,0.0,4.3478260869565215,0.0,6.608695652173912,1.0434782608695654,0.0,1816,575.0
5.764966740576496,1.3303769401330376,90.02217294900223,1.3303769401330376,0.0,0.0,0.0,1.5521064301552108,0.0,0.0,1817,451.0
4.651162790697675,1.1627906976744187,76.93798449612403,1.744186046511628,0.0,0.3875968992248062,0.0,15.11627906976744,0.0,0.0,1818,516.0
2.356902356902357,1.6835016835016834,77.60942760942761,1.1784511784511784,0.0,1.0101010101010102,0.0,16.161616161616163,0.0,0.0,1819,594.0
5.33596837944664,0.0,85.57312252964427,1.5810276679841897,0.0,0.3952569169960474,0.0,7.114624505928854,0.0,0.0,1820,506.0
6.7588325652841785,0.9216589861751152,81.87403993855607,0.9216589861751152,0.0,1.5360983102918586,0.30721966205837176,7.2196620583717355,0.4608294930875576,0.0,1821,651.0
6.823266219239374,2.5727069351230423,80.42505592841164,5.369127516778524,0.0,0.8948545861297539,0.22371364653243847,3.3557046979865772,0.33557046979865773,0.0,1822,894.0
3.2751091703056767,0.9825327510917031,80.67685589519651,9.170305676855897,0.0,0.43668122270742354,0.43668122270742354,4.039301310043668,0.9825327510917031,0.0,1823,916.0
5.577172503242543,0.5188067444876783,81.19325551232166,8.949416342412452,0.0,0.7782101167315175,0.9079118028534372,1.8158236057068744,0.25940337224383914,0.0,1824,771.0
2.194787379972565,2.3319615912208507,82.44170096021948,9.053497942386832,0.2743484224965706,0.2743484224965706,0.0,2.194787379972565,1.2345679012345678,0.0,1825,729.0
3.7652270210409746,1.8826135105204873,79.06976744186046,10.409745293466225,0.0,1.4396456256921373,0.0,2.8792912513842746,0.5537098560354374,0.0,1826,903.0
2.6869158878504673,2.219626168224299,81.89252336448598,8.411214953271028,0.0,1.9859813084112148,0.23364485981308408,1.9859813084112148,0.5841121495327103,0.0,1827,856.0
5.8891454965357966,0.6928406466512702,79.33025404157044,10.046189376443419,0.0,1.2702078521939952,0.23094688221709006,0.5773672055427251,1.9630484988452657,0.0,1828,866.0
8.257918552036198,0.3393665158371041,83.3710407239819,4.411764705882353,0.0,0.5656108597285068,0.0,2.262443438914027,0.7918552036199095,0.0,1829,884.0
8.130939809926083,1.3727560718057021,76.66314677930306,8.236536430834214,0.0,0.42238648363252373,0.6335797254487857,2.851108764519535,1.689545934530095,0.0,1830,947.0
7.260579064587973,0.17817371937639198,85.30066815144765,3.4743875278396437,0.0,0.08908685968819599,0.17817371937639198,0.9799554565701559,2.5389755011135855,0.0,1831,2245.0
7.317073170731707,0.5284552845528455,78.82113821138212,4.796747967479675,0.0,0.9349593495934959,0.16260162601626016,4.227642276422764,3.2113821138211383,0.0,1832,2460.0
7.889990982867448,0.2705139765554554,75.11271415689811,9.513074842200181,0.0,0.3155996393146979,0.8566275924256086,2.5247971145175834,3.5166816952209197,0.0,1833,2218.0
6.1446438281674824,0.4350190320826536,71.45187601957585,14.301250679717237,0.0,0.7612833061446439,0.5437737901033171,2.7732463295269167,3.588907014681892,0.0,1834,1839.0
5.7619816908993,2.4771136241249323,71.40549273021001,3.1771674744211094,0.0,0.5385029617662896,0.2154011847065159,14.270328486806678,2.1540118470651586,0.0,1835,1857.0
4.242424242424243,1.8181818181818181,65.39944903581268,6.3911845730027546,0.0,0.8815426997245178,0.1652892561983471,18.292011019283745,2.809917355371901,0.0,1836,1815.0
5.4559625876851126,0.3897116134060795,73.49961028838659,7.79423226812159,0.0,1.71473109898675,0.0,9.742790335151987,1.4029618082618862,0.0,1837,1283.0
7.245386192754613,0.3417634996582365,77.92207792207793,5.741626794258373,0.0,1.5721120984278878,1.5721120984278878,3.55434039644566,2.050580997949419,0.0,1838,1463.0
5.766150560597971,0.4805125467164976,77.57608115323012,6.300053390282969,0.0,1.4415376401494928,1.2813667912439934,3.7907100907634814,3.363587827015483,0.0,1839,1873.0
3.7710437710437708,0.26936026936026936,82.82828282828282,4.848484848484849,0.0,1.8181818181818181,0.40404040404040403,3.2996632996632997,2.760942760942761,0.0,1840,1485.0
5.564142194744977,0.2575991756826378,82.74085522926326,5.461102524471921,0.0,1.287995878413189,0.41215868109222054,2.575991756826378,1.7001545595054095,0.0,1841,1941.0
2.463382157123835,1.0652463382157125,78.69507323568575,9.387483355525966,0.0,3.062583222370173,0.13315579227696406,3.462050599201065,1.7310252996005324,0.0,1842,1502.0
5.56792873051225,2.060133630289532,75.05567928730513,7.683741648106904,0.0,2.951002227171492,0.0,4.231625835189309,2.4498886414253898,0.0,1843,1796.0
3.668069753457607,2.285027059530968,76.36800962116656,8.598917618761275,0.0,1.9242333132892364,0.3607937462417318,4.87071557426338,1.9242333132892364,0.0,1844,1663.0
2.6170798898071626,1.4692378328741964,81.17539026629935,5.647382920110193,0.0,2.157943067033976,0.5968778696051423,4.2699724517906334,2.066115702479339,0.0,1845,2178.0
2.8297779712668696,1.915542011319112,83.23900740095777,7.052677405311275,0.0,1.349586417065738,0.348280365694384,1.393121462777536,1.872006965607314,0.0,1846,2297.0
5.676066522053507,2.7838033261026753,72.41503976861895,10.014461315979755,0.2530730296456978,3.7960954446854664,0.7592190889370932,1.6268980477223427,2.675343456254519,0.0,1847,2766.0
5.343915343915344,0.3703703703703704,79.57671957671958,11.058201058201059,0.052910052910052914,0.6084656084656085,0.26455026455026454,0.5026455026455027,2.2222222222222223,0.0,1848,3780.0
5.745388569700635,0.3023888720895071,77.26035681886907,10.734804959177502,0.15119443604475355,0.6350166313879648,0.15119443604475355,2.1771998790444513,2.8424553976413667,0.0,1849,3307.0
