beurzen | fondsen | effecten | effekten | schuld | schuldeischers,waren | en | leden | zonder | was | voorkomende,handel | granen | verzending | prijshoudend | tarwe | likeuren,zaken | aangelegenheden | staatkunde | betrekkingen | mogendheden | politiek,scheepvaart | havens | zendingen | markten | bezittingen | producten,berigten | dagbladen | reis | tijdingen | beursberigten | nieuwstijdingen,year,sum
5.50098231827112,5.50098231827112,0.0,28.880157170923383,2.5540275049115913,57.56385068762279,1815,509.0
4.728546409807356,4.378283712784588,2.4518388791593697,30.64798598949212,4.378283712784588,53.41506129597198,1816,571.0
1.3303769401330376,0.0,1.3303769401330376,27.27272727272727,1.5521064301552108,68.51441241685144,1817,451.0
1.744186046511628,0.3875968992248062,1.1627906976744187,22.674418604651162,15.11627906976744,58.91472868217055,1818,516.0
1.1824324324324325,1.0135135135135136,4.5608108108108105,27.87162162162162,13.006756756756758,52.36486486486487,1819,592.0
1.5810276679841897,0.3952569169960474,0.0,31.027667984189723,7.114624505928854,59.88142292490119,1820,506.0
0.9273570324574961,1.2364760432766615,0.9273570324574961,41.26738794435858,7.2642967542503865,48.37712519319938,1821,647.0
5.423728813559322,0.903954802259887,2.598870056497175,54.80225988700565,3.1638418079096042,33.10734463276836,1822,885.0
9.210526315789473,0.43859649122807015,0.9868421052631579,51.31578947368421,3.8377192982456143,34.21052631578947,1823,912.0
9.043250327653997,0.9174311926605505,0.5242463958060288,46.92005242463958,1.834862385321101,40.76015727391874,1824,763.0
9.07840440165062,0.2751031636863824,2.613480055020633,44.84181568088033,1.925722145804677,41.26547455295736,1825,727.0
10.456062291434929,1.4460511679644048,1.8909899888765296,48.83203559510567,2.8921023359288096,34.48275862068966,1826,899.0
8.411214953271028,1.9859813084112148,2.219626168224299,52.570093457943926,1.9859813084112148,32.82710280373832,1827,856.0
10.092807424593968,1.2761020881670533,0.6960556844547563,51.62412993039444,0.580046403712297,35.730858468677496,1828,862.0
4.426787741203178,0.5675368898978433,0.0,57.66174801362089,2.2701475595913734,35.07377979568672,1829,881.0
8.30670926517572,0.42598509052183176,1.5974440894568689,54.20660276890309,2.5559105431309903,32.9073482428115,1830,939.0
3.4836980794997765,0.1786511835640911,0.1786511835640911,74.72085752568111,1.205895489057615,20.23224653863332,1831,2239.0
4.814361485108119,1.0199918400652794,0.5303957568339454,74.37780497756017,4.243166054671563,15.014279885760914,1832,2451.0
9.687641466727026,0.3168854685377999,0.3168854685377999,70.52965142598461,2.625622453598914,16.523313716613853,1833,2209.0
14.104683195592285,0.5509641873278237,0.6060606060606061,57.74104683195592,2.5895316804407713,24.40771349862259,1834,1815.0
14.834867352463455,0.5414185165132648,2.490525175961018,47.15755278830536,2.707092582566324,32.26854358419058,1835,1847.0
21.902654867256636,0.7743362831858407,2.3230088495575223,43.639380530973455,2.9867256637168142,28.373893805309734,1836,1808.0
13.348946135831383,1.56128024980484,0.39032006245121,54.87900078064013,4.5277127244340365,25.292740046838407,1837,1281.0
5.628002745367193,1.7844886753603295,0.34317089910775567,63.486616334934794,4.049416609471517,24.708304735758407,1838,1457.0
6.458557588805166,1.1840688912809472,0.6996770721205597,69.64477933261571,4.251883745963402,17.761033369214207,1839,1858.0
4.86815415821501,1.8255578093306288,0.4056795131845842,49.628127112914136,3.7187288708586883,39.553752535496955,1840,1479.0
5.385810460901087,1.294665976178146,0.25893319523562924,63.23148627654065,3.469704816157431,26.359399274987055,1841,1931.0
9.418837675350701,3.006012024048096,1.068804275217101,43.75417501670007,3.473613894455578,39.278557114228455,1842,1497.0
7.847533632286996,2.522421524663677,2.298206278026906,52.690582959641254,4.708520179372197,29.932735426008968,1843,1784.0
8.71951219512195,1.707317073170732,2.4390243902439024,44.63414634146341,4.390243902439024,38.109756097560975,1844,1640.0
5.691809347524295,1.8047200370198981,1.5733456732993985,48.357242017584454,4.766311892642295,37.806571031929664,1845,2161.0
7.071147970318638,1.1785246617197729,2.007856831078132,53.07725883893496,1.5713662156263641,35.09384548232213,1846,2291.0
9.837877671333825,3.795136330140015,2.394988946204864,50.847457627118644,2.1002210759027267,31.02431834929993,1847,2714.0
11.194029850746269,0.7196162046908315,0.3731343283582089,56.929637526652456,0.5863539445628998,30.197228144989342,1848,3752.0
11.155015197568389,0.6382978723404255,0.3343465045592705,55.6838905775076,2.613981762917933,29.574468085106382,1849,3290.0
13.189655172413794,1.1494252873563218,0.603448275862069,52.29885057471264,1.7816091954022988,30.977011494252878,1850,3480.0
15.721171672228401,3.8932146829810903,1.4831294030404154,43.75231738969225,2.743789395624768,32.40637745643307,1851,2697.0
10.002667377967459,1.3336889837289942,0.5601493731661776,50.3867698052814,1.7071218991731127,36.00960256068284,1852,3749.0
8.34371108343711,0.8966376089663761,1.095890410958904,49.66376089663761,1.4196762141967623,38.58032378580324,1853,4015.0
9.476059162697418,2.1308598646277264,1.579343193782903,46.92905490097769,7.846578089746805,32.03810478816746,1854,3989.0
