reis | beursberigten | waren | en | was | overzicht,rogge | ƒ475 | voer | 70 | vs | ƒ450,leden | journalisten | officieren | tijdschriften | geleerden | consuls,zaken | berigten | berichten | politiek | kroniek | bladen,granen | soorten | markt | suiker | fr | handel,havens | beurzen | fondsen | staatsfondsen | effecten | schuld,year,sum
5.870841487279844,0.0,0.0,86.10567514677103,0.0,8.023483365949119,1815,511.0
4.3478260869565215,0.0,0.34782608695652173,83.1304347826087,0.0,12.173913043478262,1816,575.0
0.0,0.0,0.0,95.78713968957871,0.4434589800443459,3.7694013303769403,1817,451.0
0.3875968992248062,0.0,0.0,81.5891472868217,0.7751937984496124,17.248062015503876,1818,516.0
1.0101010101010102,0.0,0.6734006734006733,79.29292929292929,1.6835016835016834,17.34006734006734,1819,594.0
0.3952569169960474,0.0,0.0,90.9090909090909,0.0,8.695652173913043,1820,506.0
1.8433179723502304,0.0,0.4608294930875576,88.63287250384025,0.9216589861751152,8.141321044546851,1821,651.0
1.901565995525727,0.0,0.22371364653243847,86.57718120805369,2.5727069351230423,8.724832214765101,1822,894.0
0.6550218340611353,0.0,0.6550218340611353,84.71615720524017,0.9825327510917031,12.991266375545852,1823,916.0
1.0376134889753565,0.0,0.648508430609598,87.02983138780804,0.5188067444876783,10.765239948119326,1824,771.0
0.2743484224965706,0.2743484224965706,0.0,85.87105624142661,2.3319615912208507,11.248285322359397,1825,729.0
1.6611295681063125,0.0,0.22148394241417496,82.94573643410853,1.8826135105204873,13.2890365448505,1826,903.0
2.219626168224299,0.0,0.23364485981308408,84.92990654205607,2.219626168224299,10.397196261682243,1827,856.0
1.2702078521939952,0.0,0.23094688221709006,87.1824480369515,0.6928406466512702,10.623556581986143,1828,866.0
0.7918552036199095,0.0,0.0,92.19457013574662,0.3393665158371041,6.67420814479638,1829,884.0
0.6335797254487857,0.0,0.7391763463569165,85.95564941921859,1.3727560718057021,11.298838437170012,1830,947.0
0.17817371937639198,0.0,0.26726057906458794,94.69933184855233,0.17817371937639198,4.67706013363029,1831,2245.0
1.097560975609756,0.0,0.16260162601626016,89.1869918699187,0.16260162601626016,9.390243902439025,1832,2460.0
0.6311992786293958,0.0,0.49594229035166815,86.1136158701533,0.2705139765554554,12.48872858431019,1833,2218.0
0.9244154431756388,0.0,0.5437737901033171,81.02229472539423,0.4350190320826536,17.074497009244155,1834,1839.0
1.4001077005923532,0.0,0.2154011847065159,78.35218093699515,2.4771136241249323,17.555196553581045,1835,1857.0
3.0853994490358128,0.0,0.0,70.02754820936639,1.8181818181818181,25.068870523415974,1836,1815.0
2.8838659392049886,0.0,0.0,78.87763055339049,0.3897116134060795,17.848791893998442,1837,1283.0
2.52904989747095,0.0,1.2303485987696514,85.9876965140123,0.3417634996582365,9.911141490088857,1838,1463.0
2.5093432995194873,0.0,0.37373198077949815,85.53123331553657,0.4805125467164976,11.105178857447944,1839,1873.0
2.8956228956228958,0.0,0.13468013468013468,88.14814814814815,0.26936026936026936,8.552188552188552,1840,1485.0
2.0607934054611023,0.0,0.41215868109222054,88.35651725914477,0.2575991756826378,8.912931478619267,1841,1941.0
3.1957390146471374,0.0,0.13315579227696406,82.75632490013317,1.0652463382157125,12.849533954727029,1842,1502.0
3.5634743875278394,0.0,0.0,81.79287305122494,2.060133630289532,12.583518930957686,1843,1796.0
3.126879134095009,0.0,0.3607937462417318,80.51713770294648,2.285027059530968,13.71016235718581,1844,1663.0
2.7089072543617996,0.0,0.8723599632690543,84.57300275482093,1.4692378328741964,10.376492194674013,1845,2178.0
2.2638223770134958,0.0,0.174140182847192,87.0265563778842,1.915542011319112,8.619939050936004,1846,2297.0
5.784526391901663,0.2530730296456978,0.6869125090383225,78.27187274041938,2.7838033261026753,12.219812002892263,1847,2766.0
0.8994708994708994,0.052910052910052914,0.21164021164021166,86.77248677248677,0.3703703703703704,11.693121693121693,1848,3780.0
1.1188388267311764,0.15119443604475355,0.21167221046265497,84.45721197459933,0.3023888720895071,13.758693680072573,1849,3307.0
2.5435838811088884,0.0,0.48585310088596745,81.36610460131466,0.6001714775650185,15.004286939125464,1850,3499.0
2.4981631153563555,0.07347538574577515,2.4981631153563555,74.83468038207201,1.322556943423953,18.772961058045553,1851,2722.0
5.756535516239768,0.0,0.5809347768682335,81.51571164510166,0.5017163982043834,11.645101663585953,1852,3787.0
6.236135075178703,0.0,0.6408676361843727,82.40078876016761,0.6655163914222332,10.05669213704708,1853,4057.0
7.741775908978481,0.04946821667078902,0.34627751669552315,72.74301261439525,1.6324511501360377,17.487014593123916,1854,4043.0
7.345807345807345,0.462000462000462,1.4322014322014323,71.65627165627166,1.1319011319011318,17.97181797181797,1855,4329.0
12.517552657973921,0.2607823470411234,0.4012036108324975,68.28485456369108,1.8054162487462388,16.730190571715145,1856,4985.0
12.606697307944845,1.3131976362442548,0.4596191726854892,65.65988181221275,1.772816808929744,18.18778726198293,1857,4569.0
13.47851677457328,0.5101039827349422,1.5891701000588583,71.57151265450264,2.413184226015303,10.43751226211497,1858,5097.0
11.804205690051246,0.0,0.5124580314543206,72.34493726806856,2.509277257465983,12.829121752959887,1859,5659.0
8.708530805687204,0.0,0.84913112164297,79.06793048973144,0.9281200631911531,10.446287519747235,1860,5064.0
8.922880815806247,0.0,1.2746972594008923,81.34161886551944,1.449968132568515,7.0108349267049075,1861,6276.0
8.433934182239126,0.0496113775425831,1.207210186869522,81.56110468000661,0.6945592855961633,8.05358028774599,1862,6047.0
11.159397796057737,0.21729008225981686,0.5742666459723731,78.00713953127425,0.8381188887164364,9.203787055719385,1863,6443.0
6.2984169754125965,0.033681374200067365,0.4883799259009768,83.47928595486695,0.6567867969013136,9.043448972718087,1864,5938.0
11.204943357363542,0.30895983522142123,0.8856848609680742,75.24201853759011,1.297631307929969,11.06076210092688,1865,4855.0
6.758809234507898,0.19744835965978128,0.6834750911300121,80.10328068043742,2.6883353584447147,9.56865127582017,1866,6584.0
5.451548333922053,0.16484163428705992,1.3187330742964793,78.73542917696928,2.837630990227246,11.491816790297893,1867,8493.0
6.541019955654102,0.4434589800443459,0.5681818181818182,79.32372505543238,2.757760532150776,10.365853658536585,1868,7216.0
9.429903191107925,1.3624955181068483,1.0756543564001435,73.48512011473647,3.0118321979204015,11.634994621728218,1869,5578.0
