,pmi,w1,w2,year
0,0.0,internationaal,arbitrage,1819
0,0.0,internationaal,diplomatieke,1819
0,0.0,internationaal,buitenland,1819
0,0.0,internationaal,buitenlandsche,1819
0,0.0,internationaal,binnenland,1819
0,0.0,internationaal,nationale,1819
0,0.0,internationale,recht,1820
0,0.0,internationale,conferentie,1820
0,0.0,internationale,collectieve,1820
0,0.0,internationale,vrede,1820
0,0.0,internationale,rust,1820
0,0.0,internationale,toestand,1820
0,0.0,internationale,onrust,1820
0,0.0,internationale,staten,1820
0,0.0,internationale,natie,1820
0,0.0,internationale,congres,1820
0,0.0,internationale,arbitrage,1820
0,0.0,internationale,diplomatieke,1820
0,0.0,internationale,buitenland,1820
0,0.0,internationale,buitenlandsche,1820
0,0.0,internationale,binnenland,1820
0,0.0,internationale,nationale,1820
0,0.0,internationaal,recht,1820
0,0.0,internationaal,conferentie,1820
0,0.0,internationaal,collectieve,1820
0,0.0,internationaal,vrede,1820
0,0.0,internationaal,rust,1820
0,0.0,internationaal,toestand,1820
0,0.0,internationaal,onrust,1820
0,0.0,internationaal,staten,1820
0,0.0,internationaal,natie,1820
0,0.0,internationaal,congres,1820
0,0.0,internationaal,arbitrage,1820
0,0.0,internationaal,diplomatieke,1820
0,0.0,internationaal,buitenland,1820
0,0.0,internationaal,buitenlandsche,1820
0,0.0,internationaal,binnenland,1820
0,0.0,internationaal,nationale,1820
0,0.0,internationale,recht,1821
0,0.0,internationale,conferentie,1821
0,0.0,internationale,collectieve,1821
0,0.0,internationale,vrede,1821
0,0.0,internationale,rust,1821
0,0.0,internationale,toestand,1821
0,0.0,internationale,onrust,1821
0,0.0,internationale,staten,1821
0,0.0,internationale,natie,1821
0,0.0,internationale,congres,1821
0,0.0,internationale,arbitrage,1821
0,0.0,internationale,diplomatieke,1821
0,0.0,internationale,buitenland,1821
0,0.0,internationale,buitenlandsche,1821
0,0.0,internationale,binnenland,1821
0,0.0,internationale,nationale,1821
0,0.0,internationaal,recht,1821
0,0.0,internationaal,conferentie,1821
0,0.0,internationaal,collectieve,1821
0,0.0,internationaal,vrede,1821
0,0.0,internationaal,rust,1821
0,0.0,internationaal,toestand,1821
0,0.0,internationaal,onrust,1821
0,0.0,internationaal,staten,1821
0,0.0,internationaal,natie,1821
0,0.0,internationaal,congres,1821
0,0.0,internationaal,arbitrage,1821
0,0.0,internationaal,diplomatieke,1821
0,0.0,internationaal,buitenland,1821
0,0.0,internationaal,buitenlandsche,1821
0,0.0,internationaal,binnenland,1821
0,0.0,internationaal,nationale,1821
0,0.0,internationale,recht,1822
0,0.0,internationale,conferentie,1822
0,0.0,internationale,collectieve,1822
0,0.0,internationale,vrede,1822
0,0.0,internationale,rust,1822
0,0.0,internationale,toestand,1822
0,0.0,internationale,onrust,1822
0,0.0,internationale,staten,1822
0,0.0,internationale,natie,1822
0,0.0,internationale,congres,1822
0,0.0,internationale,arbitrage,1822
0,0.0,internationale,diplomatieke,1822
0,0.0,internationale,buitenland,1822
0,0.0,internationale,buitenlandsche,1822
0,0.0,internationale,binnenland,1822
0,0.0,internationale,nationale,1822
0,0.0,internationaal,recht,1822
0,0.0,internationaal,conferentie,1822
0,0.0,internationaal,collectieve,1822
0,0.0,internationaal,vrede,1822
0,0.0,internationaal,rust,1822
0,0.0,internationaal,toestand,1822
0,0.0,internationaal,onrust,1822
0,0.0,internationaal,staten,1822
0,0.0,internationaal,natie,1822
0,0.0,internationaal,congres,1822
0,0.0,internationaal,arbitrage,1822
0,0.0,internationaal,diplomatieke,1822
0,0.0,internationaal,buitenland,1822
0,0.0,internationaal,buitenlandsche,1822
0,0.0,internationaal,binnenland,1822
0,0.0,internationaal,nationale,1822
0,0.0,internationale,recht,1823
0,0.0,internationale,conferentie,1823
0,0.0,internationale,collectieve,1823
0,0.0,internationale,vrede,1823
0,0.0,internationale,rust,1823
0,0.0,internationale,toestand,1823
0,0.0,internationale,onrust,1823
0,0.0,internationale,staten,1823
0,0.0,internationale,natie,1823
0,0.0,internationale,congres,1823
0,0.0,internationale,arbitrage,1823
0,0.0,internationale,diplomatieke,1823
0,0.0,internationale,buitenland,1823
0,0.0,internationale,buitenlandsche,1823
0,0.0,internationale,binnenland,1823
0,0.0,internationale,nationale,1823
0,0.0,internationaal,recht,1823
0,0.0,internationaal,conferentie,1823
0,0.0,internationaal,collectieve,1823
0,0.0,internationaal,vrede,1823
0,0.0,internationaal,rust,1823
0,0.0,internationaal,toestand,1823
0,0.0,internationaal,onrust,1823
0,0.0,internationaal,staten,1823
0,0.0,internationaal,natie,1823
0,0.0,internationaal,congres,1823
0,0.0,internationaal,arbitrage,1823
0,0.0,internationaal,diplomatieke,1823
0,0.0,internationaal,buitenland,1823
0,0.0,internationaal,buitenlandsche,1823
0,0.0,internationaal,binnenland,1823
0,0.0,internationaal,nationale,1823
0,0.0,internationale,recht,1824
0,0.0,internationale,conferentie,1824
0,0.0,internationale,collectieve,1824
0,0.0,internationale,vrede,1824
0,0.0,internationale,rust,1824
0,0.0,internationale,toestand,1824
0,0.0,internationale,onrust,1824
0,0.0,internationale,staten,1824
0,0.0,internationale,natie,1824
0,0.0,internationale,congres,1824
0,0.0,internationale,arbitrage,1824
0,0.0,internationale,diplomatieke,1824
0,0.0,internationale,buitenland,1824
0,0.0,internationale,buitenlandsche,1824
0,0.0,internationale,binnenland,1824
0,0.0,internationale,nationale,1824
0,0.0,internationaal,recht,1824
0,0.0,internationaal,conferentie,1824
0,0.0,internationaal,collectieve,1824
0,0.0,internationaal,vrede,1824
0,0.0,internationaal,rust,1824
0,0.0,internationaal,toestand,1824
0,0.0,internationaal,onrust,1824
0,0.0,internationaal,staten,1824
0,0.0,internationaal,natie,1824
0,0.0,internationaal,congres,1824
0,0.0,internationaal,arbitrage,1824
0,0.0,internationaal,diplomatieke,1824
0,0.0,internationaal,buitenland,1824
0,0.0,internationaal,buitenlandsche,1824
0,0.0,internationaal,binnenland,1824
0,0.0,internationaal,nationale,1824
0,0.0,internationale,recht,1825
0,0.0,internationale,conferentie,1825
0,0.0,internationale,collectieve,1825
0,0.0,internationale,vrede,1825
0,0.0,internationale,rust,1825
0,0.0,internationale,toestand,1825
0,0.0,internationale,onrust,1825
0,0.0,internationale,staten,1825
0,0.0,internationale,natie,1825
0,0.0,internationale,congres,1825
0,0.0,internationale,arbitrage,1825
0,0.0,internationale,diplomatieke,1825
0,0.0,internationale,buitenland,1825
0,0.0,internationale,buitenlandsche,1825
0,0.0,internationale,binnenland,1825
0,0.0,internationale,nationale,1825
0,0.0,internationaal,recht,1825
0,0.0,internationaal,conferentie,1825
0,0.0,internationaal,collectieve,1825
0,0.0,internationaal,vrede,1825
0,0.0,internationaal,rust,1825
0,0.0,internationaal,toestand,1825
0,0.0,internationaal,onrust,1825
0,0.0,internationaal,staten,1825
0,0.0,internationaal,natie,1825
0,0.0,internationaal,congres,1825
0,0.0,internationaal,arbitrage,1825
0,0.0,internationaal,diplomatieke,1825
0,0.0,internationaal,buitenland,1825
0,0.0,internationaal,buitenlandsche,1825
0,0.0,internationaal,binnenland,1825
0,0.0,internationaal,nationale,1825
0,0.0,internationale,recht,1826
0,0.0,internationale,conferentie,1826
0,0.0,internationale,collectieve,1826
0,0.0,internationale,vrede,1826
0,0.0,internationale,rust,1826
0,0.0,internationale,toestand,1826
0,0.0,internationale,onrust,1826
0,0.0,internationale,staten,1826
0,0.0,internationale,natie,1826
0,0.0,internationale,congres,1826
0,0.0,internationale,arbitrage,1826
0,0.0,internationale,diplomatieke,1826
0,0.0,internationale,buitenland,1826
0,0.0,internationale,buitenlandsche,1826
0,0.0,internationale,binnenland,1826
0,0.0,internationale,nationale,1826
0,0.0,internationaal,recht,1826
0,0.0,internationaal,conferentie,1826
0,0.0,internationaal,collectieve,1826
0,0.0,internationaal,vrede,1826
0,0.0,internationaal,rust,1826
0,0.0,internationaal,toestand,1826
0,0.0,internationaal,onrust,1826
0,0.0,internationaal,staten,1826
0,0.0,internationaal,natie,1826
0,0.0,internationaal,congres,1826
0,0.0,internationaal,arbitrage,1826
0,0.0,internationaal,diplomatieke,1826
0,0.0,internationaal,buitenland,1826
0,0.0,internationaal,buitenlandsche,1826
0,0.0,internationaal,binnenland,1826
0,0.0,internationaal,nationale,1826
0,0.0,internationale,recht,1827
0,0.0,internationale,conferentie,1827
0,0.0,internationale,collectieve,1827
0,0.0,internationale,vrede,1827
0,0.0,internationale,rust,1827
0,0.0,internationale,toestand,1827
0,0.0,internationale,onrust,1827
0,0.0,internationale,staten,1827
0,0.0,internationale,natie,1827
0,0.0,internationale,congres,1827
0,0.0,internationale,arbitrage,1827
0,0.0,internationale,diplomatieke,1827
0,0.0,internationale,buitenland,1827
0,0.0,internationale,buitenlandsche,1827
0,0.0,internationale,binnenland,1827
0,0.0,internationale,nationale,1827
0,0.0,internationaal,recht,1827
0,0.0,internationaal,conferentie,1827
0,0.0,internationaal,collectieve,1827
0,0.0,internationaal,vrede,1827
0,0.0,internationaal,rust,1827
0,0.0,internationaal,toestand,1827
0,0.0,internationaal,onrust,1827
0,0.0,internationaal,staten,1827
0,0.0,internationaal,natie,1827
0,0.0,internationaal,congres,1827
0,0.0,internationaal,arbitrage,1827
0,0.0,internationaal,diplomatieke,1827
0,0.0,internationaal,buitenland,1827
0,0.0,internationaal,buitenlandsche,1827
0,0.0,internationaal,binnenland,1827
0,0.0,internationaal,nationale,1827
0,0.0,internationale,recht,1828
0,0.0,internationale,conferentie,1828
0,0.0,internationale,collectieve,1828
0,0.0,internationale,vrede,1828
0,0.0,internationale,rust,1828
0,0.0,internationale,toestand,1828
0,0.0,internationale,onrust,1828
0,0.0,internationale,staten,1828
0,0.0,internationale,natie,1828
0,0.0,internationale,congres,1828
0,0.0,internationale,arbitrage,1828
0,0.0,internationale,diplomatieke,1828
0,0.0,internationale,buitenland,1828
0,0.0,internationale,buitenlandsche,1828
0,0.0,internationale,binnenland,1828
0,0.0,internationale,nationale,1828
0,0.0,internationaal,recht,1828
0,0.0,internationaal,conferentie,1828
0,0.0,internationaal,collectieve,1828
0,0.0,internationaal,vrede,1828
0,0.0,internationaal,rust,1828
0,0.0,internationaal,toestand,1828
0,0.0,internationaal,onrust,1828
0,0.0,internationaal,staten,1828
0,0.0,internationaal,natie,1828
0,0.0,internationaal,congres,1828
0,0.0,internationaal,arbitrage,1828
0,0.0,internationaal,diplomatieke,1828
0,0.0,internationaal,buitenland,1828
0,0.0,internationaal,buitenlandsche,1828
0,0.0,internationaal,binnenland,1828
0,0.0,internationaal,nationale,1828
0,0.0,internationale,recht,1829
0,0.0,internationale,conferentie,1829
0,0.0,internationale,collectieve,1829
0,0.0,internationale,vrede,1829
0,0.0,internationale,rust,1829
0,0.0,internationale,toestand,1829
0,0.0,internationale,onrust,1829
0,0.0,internationale,staten,1829
0,0.0,internationale,natie,1829
0,0.0,internationale,congres,1829
0,0.0,internationale,arbitrage,1829
0,0.0,internationale,diplomatieke,1829
0,0.0,internationale,buitenland,1829
0,0.0,internationale,buitenlandsche,1829
0,0.0,internationale,binnenland,1829
0,0.0,internationale,nationale,1829
0,0.0,internationaal,recht,1829
0,0.0,internationaal,conferentie,1829
0,0.0,internationaal,collectieve,1829
0,0.0,internationaal,vrede,1829
0,0.0,internationaal,rust,1829
0,0.0,internationaal,toestand,1829
0,0.0,internationaal,onrust,1829
0,0.0,internationaal,staten,1829
0,0.0,internationaal,natie,1829
0,0.0,internationaal,congres,1829
0,0.0,internationaal,arbitrage,1829
0,0.0,internationaal,diplomatieke,1829
0,0.0,internationaal,buitenland,1829
0,0.0,internationaal,buitenlandsche,1829
0,0.0,internationaal,binnenland,1829
0,0.0,internationaal,nationale,1829
0,0.0,internationale,recht,1830
0,0.0,internationale,conferentie,1830
0,0.0,internationale,collectieve,1830
0,0.0,internationale,vrede,1830
0,0.0,internationale,rust,1830
0,0.0,internationale,toestand,1830
0,0.0,internationale,onrust,1830
0,0.0,internationale,staten,1830
0,0.0,internationale,natie,1830
0,0.0,internationale,congres,1830
0,0.0,internationale,arbitrage,1830
0,0.0,internationale,diplomatieke,1830
0,0.0,internationale,buitenland,1830
0,0.0,internationale,buitenlandsche,1830
0,0.0,internationale,binnenland,1830
0,0.0,internationale,nationale,1830
0,0.0,internationaal,recht,1830
0,0.0,internationaal,conferentie,1830
0,0.0,internationaal,collectieve,1830
0,0.0,internationaal,vrede,1830
0,0.0,internationaal,rust,1830
0,0.0,internationaal,toestand,1830
0,0.0,internationaal,onrust,1830
0,0.0,internationaal,staten,1830
0,0.0,internationaal,natie,1830
0,0.0,internationaal,congres,1830
0,0.0,internationaal,arbitrage,1830
0,0.0,internationaal,diplomatieke,1830
0,0.0,internationaal,buitenland,1830
0,0.0,internationaal,buitenlandsche,1830
0,0.0,internationaal,binnenland,1830
0,0.0,internationaal,nationale,1830
0,0.0,internationale,recht,1831
0,0.0,internationale,conferentie,1831
0,0.0,internationale,collectieve,1831
0,0.0,internationale,vrede,1831
0,0.0,internationale,rust,1831
0,0.0,internationale,toestand,1831
0,0.0,internationale,onrust,1831
0,0.0,internationale,staten,1831
0,0.0,internationale,natie,1831
0,0.0,internationale,congres,1831
0,0.0,internationale,arbitrage,1831
0,0.0,internationale,diplomatieke,1831
0,0.0,internationale,buitenland,1831
0,0.0,internationale,buitenlandsche,1831
0,0.0,internationale,binnenland,1831
0,0.0,internationale,nationale,1831
0,0.0,internationaal,recht,1831
0,0.0,internationaal,conferentie,1831
0,0.0,internationaal,collectieve,1831
0,0.0,internationaal,vrede,1831
0,0.0,internationaal,rust,1831
0,0.0,internationaal,toestand,1831
0,0.0,internationaal,onrust,1831
0,0.0,internationaal,staten,1831
0,0.0,internationaal,natie,1831
0,0.0,internationaal,congres,1831
0,0.0,internationaal,arbitrage,1831
0,0.0,internationaal,diplomatieke,1831
0,0.0,internationaal,buitenland,1831
0,0.0,internationaal,buitenlandsche,1831
0,0.0,internationaal,binnenland,1831
0,0.0,internationaal,nationale,1831
0,0.0,internationale,recht,1832
0,0.0,internationale,conferentie,1832
0,0.0,internationale,collectieve,1832
0,0.0,internationale,vrede,1832
0,0.0,internationale,rust,1832
0,0.0,internationale,toestand,1832
0,0.0,internationale,onrust,1832
0,0.0,internationale,staten,1832
0,0.0,internationale,natie,1832
0,0.0,internationale,congres,1832
0,0.0,internationale,arbitrage,1832
0,0.0,internationale,diplomatieke,1832
0,0.0,internationale,buitenland,1832
0,0.0,internationale,buitenlandsche,1832
0,0.0,internationale,binnenland,1832
0,0.0,internationale,nationale,1832
0,0.0,internationaal,recht,1832
0,0.0,internationaal,conferentie,1832
0,0.0,internationaal,collectieve,1832
0,0.0,internationaal,vrede,1832
0,0.0,internationaal,rust,1832
0,0.0,internationaal,toestand,1832
0,0.0,internationaal,onrust,1832
0,0.0,internationaal,staten,1832
0,0.0,internationaal,natie,1832
0,0.0,internationaal,congres,1832
0,0.0,internationaal,arbitrage,1832
0,0.0,internationaal,diplomatieke,1832
0,0.0,internationaal,buitenland,1832
0,0.0,internationaal,buitenlandsche,1832
0,0.0,internationaal,binnenland,1832
0,0.0,internationaal,nationale,1832
0,0.0,internationale,recht,1833
0,0.0,internationale,conferentie,1833
0,0.0,internationale,collectieve,1833
0,0.0,internationale,vrede,1833
0,0.0,internationale,rust,1833
0,0.0,internationale,toestand,1833
0,0.0,internationale,onrust,1833
0,0.0,internationale,staten,1833
0,0.0,internationale,natie,1833
0,0.0,internationale,congres,1833
0,0.0,internationale,arbitrage,1833
0,0.0,internationale,diplomatieke,1833
0,0.0,internationale,buitenland,1833
0,0.0,internationale,buitenlandsche,1833
0,0.0,internationale,binnenland,1833
0,0.0,internationale,nationale,1833
0,0.0,internationaal,recht,1833
0,0.0,internationaal,conferentie,1833
0,0.0,internationaal,collectieve,1833
0,0.0,internationaal,vrede,1833
0,0.0,internationaal,rust,1833
0,0.0,internationaal,toestand,1833
0,0.0,internationaal,onrust,1833
0,0.0,internationaal,staten,1833
0,0.0,internationaal,natie,1833
0,0.0,internationaal,congres,1833
0,0.0,internationaal,arbitrage,1833
0,0.0,internationaal,diplomatieke,1833
0,0.0,internationaal,buitenland,1833
0,0.0,internationaal,buitenlandsche,1833
0,0.0,internationaal,binnenland,1833
0,0.0,internationaal,nationale,1833
0,0.0,internationale,recht,1834
0,0.0,internationale,conferentie,1834
0,0.0,internationale,collectieve,1834
0,0.0,internationale,vrede,1834
0,0.0,internationale,rust,1834
0,0.0,internationale,toestand,1834
0,0.0,internationale,onrust,1834
0,0.0,internationale,staten,1834
0,0.0,internationale,natie,1834
0,0.0,internationale,congres,1834
0,0.0,internationale,arbitrage,1834
0,0.0,internationale,diplomatieke,1834
0,0.0,internationale,buitenland,1834
0,0.0,internationale,buitenlandsche,1834
0,0.0,internationale,binnenland,1834
0,0.0,internationale,nationale,1834
0,0.0,internationaal,recht,1834
0,0.0,internationaal,conferentie,1834
0,0.0,internationaal,collectieve,1834
0,0.0,internationaal,vrede,1834
0,0.0,internationaal,rust,1834
0,0.0,internationaal,toestand,1834
0,0.0,internationaal,onrust,1834
0,0.0,internationaal,staten,1834
0,0.0,internationaal,natie,1834
0,0.0,internationaal,congres,1834
0,0.0,internationaal,arbitrage,1834
0,0.0,internationaal,diplomatieke,1834
0,0.0,internationaal,buitenland,1834
0,0.0,internationaal,buitenlandsche,1834
0,0.0,internationaal,binnenland,1834
0,0.0,internationaal,nationale,1834
0,0.0,internationale,recht,1835
0,0.0,internationale,conferentie,1835
0,0.0,internationale,collectieve,1835
0,0.0,internationale,vrede,1835
0,0.0,internationale,rust,1835
0,0.0,internationale,toestand,1835
0,0.0,internationale,onrust,1835
0,0.0,internationale,staten,1835
0,0.0,internationale,natie,1835
0,0.0,internationale,congres,1835
0,0.0,internationale,arbitrage,1835
0,0.0,internationale,diplomatieke,1835
0,0.0,internationale,buitenland,1835
0,0.0,internationale,buitenlandsche,1835
0,0.0,internationale,binnenland,1835
0,0.0,internationale,nationale,1835
0,0.0,internationaal,recht,1835
0,0.0,internationaal,conferentie,1835
0,0.0,internationaal,collectieve,1835
0,0.0,internationaal,vrede,1835
0,0.0,internationaal,rust,1835
0,0.0,internationaal,toestand,1835
0,0.0,internationaal,onrust,1835
0,0.0,internationaal,staten,1835
0,0.0,internationaal,natie,1835
0,0.0,internationaal,congres,1835
0,0.0,internationaal,arbitrage,1835
0,0.0,internationaal,diplomatieke,1835
0,0.0,internationaal,buitenland,1835
0,0.0,internationaal,buitenlandsche,1835
0,0.0,internationaal,binnenland,1835
0,0.0,internationaal,nationale,1835
0,0.0,internationale,recht,1836
0,2.996728927726332,internationale,conferentie,1836
0,0.0,internationale,collectieve,1836
0,1.9452699669372084,internationale,vrede,1836
0,1.432455282346361,internationale,rust,1836
0,1.441738175776804,internationale,toestand,1836
0,0.0,internationale,onrust,1836
0,1.897641917947954,internationale,staten,1836
0,2.457257705883377,internationale,natie,1836
0,0.0,internationale,congres,1836
0,0.0,internationale,arbitrage,1836
0,0.0,internationale,diplomatieke,1836
0,1.7808613357482466,internationale,buitenland,1836
0,1.9422878573713596,internationale,buitenlandsche,1836
0,1.0717942546575736,internationale,binnenland,1836
0,3.0110763761344734,internationale,nationale,1836
0,0.0,internationaal,recht,1836
0,0.0,internationaal,conferentie,1836
0,0.0,internationaal,collectieve,1836
0,0.0,internationaal,vrede,1836
0,0.0,internationaal,rust,1836
0,0.0,internationaal,toestand,1836
0,0.0,internationaal,onrust,1836
0,0.0,internationaal,staten,1836
0,0.0,internationaal,natie,1836
0,0.0,internationaal,congres,1836
0,0.0,internationaal,arbitrage,1836
0,0.0,internationaal,diplomatieke,1836
0,0.0,internationaal,buitenland,1836
0,0.0,internationaal,buitenlandsche,1836
0,0.0,internationaal,binnenland,1836
0,0.0,internationaal,nationale,1836
0,0.0,internationale,recht,1837
0,0.0,internationale,conferentie,1837
0,0.0,internationale,collectieve,1837
0,0.0,internationale,vrede,1837
0,0.0,internationale,rust,1837
0,0.0,internationale,toestand,1837
0,0.0,internationale,onrust,1837
0,2.17430540581256,internationale,staten,1837
0,0.0,internationale,natie,1837
0,0.0,internationale,congres,1837
0,0.0,internationale,arbitrage,1837
0,0.0,internationale,diplomatieke,1837
0,2.131767606640441,internationale,buitenland,1837
0,1.7429990665205082,internationale,buitenlandsche,1837
0,2.0573371289744546,internationale,binnenland,1837
0,3.119141056176381,internationale,nationale,1837
0,0.0,internationaal,recht,1837
0,0.0,internationaal,conferentie,1837
0,0.0,internationaal,collectieve,1837
0,0.0,internationaal,vrede,1837
0,0.0,internationaal,rust,1837
0,0.0,internationaal,toestand,1837
0,0.0,internationaal,onrust,1837
0,0.0,internationaal,staten,1837
0,0.0,internationaal,natie,1837
0,0.0,internationaal,congres,1837
0,0.0,internationaal,arbitrage,1837
0,0.0,internationaal,diplomatieke,1837
0,0.0,internationaal,buitenland,1837
0,0.0,internationaal,buitenlandsche,1837
