,100,120,150,175,year
0,0.004049687646329403,0.017227720469236374,-0.0055101909674704075,-0.0045526279136538506,1830
1,-0.023541709408164024,-0.014143604785203934,-0.027340160682797432,-0.02607228234410286,1835
2,-0.03349482640624046,-0.01645970158278942,0.01213607843965292,-0.0363316684961319,1840
3,-0.02964434027671814,-0.04103349894285202,-0.06386468559503555,-0.12655213475227356,1845
4,-0.052653055638074875,-0.07783514261245728,-0.07021041214466095,-0.04444118216633797,1850
5,-0.12754882872104645,-0.040497563779354095,-0.06065283715724945,-0.10322801768779755,1855
6,-0.0461457297205925,-0.02249774895608425,-0.07168850302696228,-0.06498336046934128,1860
7,0.03986521437764168,0.046602703630924225,0.01180305052548647,-0.00475715147331357,1865
8,0.042561352252960205,0.0475013367831707,0.06100471317768097,-0.029112447053194046,1870
9,0.09864762425422668,0.13394014537334442,0.0733025074005127,0.06900256872177124,1875
10,0.06428564339876175,0.09901344031095505,0.007889145985245705,-0.0018458619015291333,1880
11,-0.00027477816911414266,0.07660917937755585,-0.003696527797728777,0.024739978834986687,1885
12,0.05599178001284599,0.05867554247379303,0.006126664113253355,0.014558861963450909,1890
13,0.10228272527456284,0.0838494598865509,0.06500133872032166,0.06429341435432434,1895
14,0.09756316989660263,0.05359015613794327,0.00024483719607815146,0.0035297407303005457,1900
15,0.11018091440200806,0.08017389476299286,0.012653186917304993,0.053506843745708466,1905
16,0.12442906200885773,0.07483097165822983,0.052505362778902054,0.058467064052820206,1910
