,100,120,150,175,year
0,-0.05244017392396927,-0.03802948817610741,-0.023597562685608864,-0.0656537115573883,1830
1,-0.05740102007985115,-0.02909933403134346,-0.010514779016375542,-0.015871578827500343,1835
2,-0.03157409653067589,0.016225429251790047,0.04839129373431206,0.040069129317998886,1840
3,0.005351742263883352,0.04686087742447853,0.05166466906666756,0.034134868532419205,1845
4,0.03594163805246353,0.005898918956518173,0.07003980875015259,0.04287757724523544,1850
5,0.03693189471960068,0.0364091731607914,0.07475734502077103,0.06059796363115311,1855
6,0.06107516214251518,0.06294188648462296,0.08056215941905975,0.08199556916952133,1860
7,0.0675153061747551,0.0970534011721611,0.13068953156471252,0.12301789969205856,1865
8,0.0889391303062439,0.1469934582710266,0.1481783092021942,0.20569919049739838,1870
9,0.12002911418676376,0.1050429418683052,0.1316048949956894,0.14871086180210114,1875
10,0.15490682423114777,0.15221059322357178,0.13015517592430115,0.1910991072654724,1880
11,0.13961118459701538,0.15843725204467773,0.12993809580802917,0.14236582815647125,1885
12,0.13260427117347717,0.12522508203983307,0.16309793293476105,0.1745581030845642,1890
13,0.16978061199188232,0.16950026154518127,0.1763649731874466,0.16757334768772125,1895
14,0.18650346994400024,0.17040380835533142,0.1630670428276062,0.16887608170509338,1900
15,0.1603965014219284,0.1885383576154709,0.20640996098518372,0.18177762627601624,1905
16,0.15099497139453888,0.22061128914356232,0.2357972413301468,0.16546304523944855,1910
