ngram,1830,1850,1860,1870,1880,1890,1900,1910
hoeveelheden,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0
hoofdsteden,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hospitalen,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotels,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
houders,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
importeurs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
industrieelen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
industrieën,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
inkoopen,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
inrichtitgen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
instellingen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
iuweiiersfirma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
juweliersfirma,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
kalmte,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kanonnen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kapitalen,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
kkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
koffijhuizen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
koopers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kooplieden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kostbaarheid,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
kunsthandelaars,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
landbouwtentoonstellingen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
leening,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0
leeniug,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
leerlooierijen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lijnen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
maatschappij,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
maatschappijen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
magazijnen,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
mannen,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
manoeuvres,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
markten,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
mededingers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
menigte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missionsgezelschappen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
modefirmas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
modemagazijnen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nijverheid,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
noodzakelijkheid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
onderneming,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ondernemingen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
opera,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
operagezelschappen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oplichterijen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
opofferingen,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
orgels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
paardenfokdistricten,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
paleizen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pantserschepen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
papierfabrieken,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
partijen,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
pers,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
plaaitsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
plaats,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
plaatsen,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0
plannen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pleiziertninen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
protectie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
publiek,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
rag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
reddingmaatschappijen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
reddingmaatscliappijen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
reddingsmaatschappijen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
reis,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
reizen,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
relatien,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
reputatie,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
restaurants,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rijwieltentoonstellingen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
roep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rouw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
saldi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
saldos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
schaal,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
scheepvaartsluizen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scholen,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
schouwburgen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
schulden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
slachthuizen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
som,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
staatsfondsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stad,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
stael,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stalen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stations,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
