,pmi,w1,w2,year
0,2.3349538173245903,buitenland,continentaal,1822
0,2.2608458451708686,buitenland,overzees,1822
0,1.5364461211068188,buitenland,werelddeel,1822
0,1.5811820149482103,buitenland,beschaving,1822
0,1.6498517324494768,buitenland,europa,1822
0,1.9758087248506524,buitenlandsche,overzee,1822
0,2.2409164752638944,buitenlandsche,vasteland,1822
0,2.482078532080782,buitenlandsche,continent,1822
0,2.482078532080782,buitenlandsche,continentaal,1822
0,2.2409164752638944,buitenlandsche,overzees,1822
0,1.5657878002066272,buitenlandsche,werelddeel,1822
0,1.5947753370798794,buitenlandsche,beschaving,1822
0,1.723854182376706,buitenlandsche,europa,1822
0,1.472957572609866,buitenland,overzee,1823
0,2.107264253146878,buitenland,vasteland,1823
0,2.4174191814507178,buitenland,continent,1823
0,3.1105663620106627,buitenland,continentaal,1823
0,1.5701213210635137,buitenland,overzees,1823
0,1.3188068927826078,buitenland,werelddeel,1823
0,1.5011284495765624,buitenland,beschaving,1823
0,1.733933911802509,buitenland,europa,1823
0,1.6020049574495694,buitenlandsche,overzee,1823
0,1.9178579068680468,buitenlandsche,vasteland,1823
0,2.546466566290421,buitenlandsche,continent,1823
0,3.239613746850366,buitenlandsche,continentaal,1823
0,1.699168705903217,buitenlandsche,overzees,1823
0,1.447854277622311,buitenlandsche,werelddeel,1823
0,1.630175834416266,buitenlandsche,beschaving,1823
0,1.7109650893435866,buitenlandsche,europa,1823
0,1.7948579410631045,buitenland,overzee,1824
0,1.3203999614679887,buitenland,vasteland,1824
0,2.200323049171269,buitenland,continent,1824
0,0.0,buitenland,continentaal,1824
0,2.610607443715382,buitenland,overzees,1824
0,1.865475508277058,buitenland,werelddeel,1824
0,1.38939283295494,buitenland,beschaving,1824
0,1.726853211949047,buitenland,europa,1824
0,1.7587740653390826,buitenlandsche,overzee,1824
0,1.1301654059167086,buitenlandsche,vasteland,1824
0,2.3465607302412015,buitenlandsche,continent,1824
0,0.0,buitenlandsche,continentaal,1824
0,2.5897910401221487,buitenlandsche,overzees,1824
0,1.9164030095426658,buitenlandsche,werelddeel,1824
0,1.440320334220548,buitenlandsche,beschaving,1824
0,1.7636066601772913,buitenlandsche,europa,1824
0,1.2946182579416847,buitenland,overzee,1825
0,0.7249521341527606,buitenland,vasteland,1825
0,0.0,buitenland,continent,1825
0,0.0,buitenland,continentaal,1825
0,1.8037617955246903,buitenland,overzees,1825
0,2.0635150924514614,buitenland,werelddeel,1825
0,1.6175263394095993,buitenland,beschaving,1825
0,1.829865222972892,buitenland,europa,1825
0,1.2616868071044356,buitenlandsche,overzee,1825
0,0.5584892906909891,buitenlandsche,vasteland,1825
0,0.0,buitenlandsche,continent,1825
0,0.0,buitenlandsche,continentaal,1825
0,1.7914496318901774,buitenlandsche,overzees,1825
0,1.9334198931605646,buitenlandsche,werelddeel,1825
0,1.4643087226978488,buitenlandsche,beschaving,1825
0,1.809254256523684,buitenlandsche,europa,1825
0,1.4263514234170278,buitenland,overzee,1826
0,2.119498603976973,buitenland,vasteland,1826
0,2.6455916998737523,buitenland,continent,1826
0,2.9487779588614984,buitenland,continentaal,1826
0,1.8093436756731338,buitenland,overzees,1826
0,1.7039831600153073,buitenland,werelddeel,1826
0,1.5136934335721761,buitenland,beschaving,1826
0,1.6854153548558621,buitenland,europa,1826
0,1.4861438511653433,buitenlandsche,overzee,1826
0,2.171910924427666,buitenlandsche,vasteland,1826
0,2.4748604690102356,buitenlandsche,continent,1826
